Curve,Volatility,Return
Frontier_With_SF,0.5990839998766341,0.2692966167651747
CAL_No_SF,0.0,0.035
CAL_No_SF,0.00406965083790565,0.03764930045667612
CAL_No_SF,0.0081393016758113,0.04029860091335223
CAL_No_SF,0.012208952513716951,0.04294790137002834
CAL_No_SF,0.0162786033516226,0.04559720182670446
CAL_No_SF,0.02034825418952825,0.048246502283380566
CAL_No_SF,0.024417905027433903,0.05089580274005668
CAL_No_SF,0.02848755586533955,0.05354510319673279
CAL_No_SF,0.0325572067032452,0.05619440365340891
CAL_No_SF,0.03662685754115085,0.05884370411008502
CAL_No_SF,0.0406965083790565,0.06149300456676113
CAL_No_SF,0.044766159216962156,0.06414230502343725
CAL_No_SF,0.048835810054867805,0.06679160548011336
CAL_No_SF,0.05290546089277345,0.06944090593678948
